,COUNTRY,INDICATOR,2016,2017,2018,2019,2020,2021,2022,2023
0,Zimbabwe,Value of mobile money transactions (during the reference year),28.30352381645416,81.76162552111127,63.41012707881038,54.13707044068592,25.05382726933137,20.36137455708725,14.18105263906246,1.494561669799075
1,Bulgaria,Value of mobile money transactions (during the reference year),,,,,,,,
2,Cameroon,Value of mobile money transactions (during the reference year),4.34168293280068,16.4489060923774,29.1378045015997,39.8879316004509,53.4095997045533,,,
3,"Latvia, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
4,"Comoros, Union of the",Value of mobile money transactions (during the reference year),,,,,,,,
5,Tonga,Value of mobile money transactions (during the reference year),3.64576112179641,3.63576297616089,5.12445483953049,,,,,
6,Solomon Islands,Value of mobile money transactions (during the reference year),,,,,,,,
7,Austria,Value of mobile money transactions (during the reference year),,,,,,,,
8,"San Marino, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
9,Norway,Value of mobile money transactions (during the reference year),,,,,,,,
10,Indonesia,Value of mobile money transactions (during the reference year),7063688.968575,12375468.717372,47198616.1051483,145165467.602595,204909169.984853,305435828.472424,407534241.472589,457729193.839782
11,"San Marino, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
12,Mali,Value of mobile money transactions (during the reference year),26.38260858057379,30.40222680380018,34.10440888299006,37.3195058543415,37.58625061305551,64.47882883870979,102.8111265454637,124.6652465516605
13,Botswana,Value of mobile money transactions (during the reference year),2.488882050297944,3.402406311959368,5.679347899043801,7.06833191048641,10.95363134460113,14.21390734624615,13.83563024663493,15.39326203067883
14,Chad,Value of mobile money transactions (during the reference year),2854.0,77975.0,,,183.0,,2840.0,
15,Niger,Value of mobile money transactions (during the reference year),215519.0,224890.0,196431.0,200009.0,177958.0,345901.0,205248.0,222831.0
16,Norway,Value of mobile money transactions (during the reference year),,,,,,,,
17,Bulgaria,Value of mobile money transactions (during the reference year),,,,,,,,
18,"Mozambique, Republic of",Value of mobile money transactions (during the reference year),0.9934027939769274,17.50328111569224,15.90927652440717,37.94155987537903,54.09400497192169,66.67905301272702,71.70553904019438,89.87832419205773
19,Myanmar,Value of mobile money transactions (during the reference year),1536799.0,2079070.413676,618959.0,3760753.93863,,,,
20,Benin,Value of mobile money transactions (during the reference year),13.12622140886166,25.47694927721085,30.12466268762379,33.43031614952204,48.25380733839283,62.42006149888149,74.49157479521105,90.60760851258615
21,Guinea-Bissau,Value of mobile money transactions (during the reference year),0.0802344146004949,0.3667024777606077,1.728144497809411,5.992355412466717,16.73463464687311,29.68434173115875,20.71999610934244,46.89544565877149
22,Burkina Faso,Value of mobile money transactions (during the reference year),31.75126819119165,48.01869642409586,52.93463769480475,59.02836785361241,72.84302862853632,86.26720393343633,114.529754187774,134.9473910162775
23,Bangladesh,Value of mobile money transactions (during the reference year),2343400.00387261,3146580.35905975,3789756.42160808,4343184.00355767,5613958.77509044,8850898.55842311,10759944.2598812,13529071.0687729
24,"Lesotho, Kingdom of",Value of mobile money transactions (during the reference year),4211.99,5941.1,8075.0,10658.0,13388.0,13567.0,23983.173292,28922.0
25,"Armenia, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
26,Namibia,Value of mobile money transactions (during the reference year),2932.0,10250.79704351,5419.046,8784.77,,11290.00704852,12248.6228598,
27,"Fiji, Republic of",Value of mobile money transactions (during the reference year),38.8,71.36,294.0,95.0,192.32781046,,1760.0,
28,Burkina Faso,Value of mobile money transactions (during the reference year),2414723.0,3933355.0,4672054.0,5545008.0,7431641.0,9396861.0,13444985.0,16636717.0
29,Samoa,Value of mobile money transactions (during the reference year),22.135,22.513,21.137,23.215,22.939,24.635,44.562,37.76
30,Togo,Value of mobile money transactions (during the reference year),263122.0,394346.0,607839.0,910665.0,1488691.0,1942871.0,2890176.0,3540863.0
31,Liberia,Value of mobile money transactions (during the reference year),,20.445593,42.333266,82.0,495.0,421.0,549.0,584.0
32,Côte d'Ivoire,Value of mobile money transactions (during the reference year),17.16258095952513,21.42776019937526,29.85089292309201,30.45595716758892,38.41691440668505,53.26880151859227,73.67418537223425,
33,Benin,Value of mobile money transactions (during the reference year),919522.0,1879002.0,2386477.0,2818927.0,4347094.0,6123217.0,8085694.0,10813924.0
34,Kenya,Value of mobile money transactions (during the reference year),3355577.0,3638474.0,3984370.0,4345761.3973471,5213548.5141293,6868770.0,7908830.0,7883500.0
35,"Madagascar, Republic of",Value of mobile money transactions (during the reference year),12.76442649778489,17.85438124480913,2.69399233404126,41.45871311726967,49.59177295328622,59.29728219492525,71.82801093295522,
36,"Latvia, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
37,Greece,Value of mobile money transactions (during the reference year),,,,,,,,
38,Austria,Value of mobile money transactions (during the reference year),,,,,,,,
39,Georgia,Value of mobile money transactions (during the reference year),,,,,,,,
40,"Congo, Democratic Republic of the",Value of mobile money transactions (during the reference year),,,9972222.97331254,12067964.1594552,20038939.6449199,,,
41,Pakistan,Value of mobile money transactions (during the reference year),6.629603518699086,7.88687951861145,9.336799980435858,10.28526153447501,14.27367584539546,16.06726187395022,18.910265181211,21.62790714775356
42,Malawi,Value of mobile money transactions (during the reference year),303806.0,521326.0,952855.0,1672980.0,2520290.1,,6750387.19912129,
43,Solomon Islands,Value of mobile money transactions (during the reference year),,,,,,,,
44,Rwanda,Value of mobile money transactions (during the reference year),1040459.0,1384685.53439154,1808943.33716827,2349788.0,7176619.576864,10439128.984559,14602901.0,20776838.0
45,Senegal,Value of mobile money transactions (during the reference year),5.061835993348102,10.34795857804707,21.17519425486893,33.9695167800789,65.01667915537607,113.9839287014275,155.5757288837804,207.1386858256363
46,Morocco,Value of mobile money transactions (during the reference year),,,,,445.31130507,1116.583499699,1739.4253154076,2119.41504279
47,Togo,Value of mobile money transactions (during the reference year),7.313393425444923,10.63242470813449,15.56805142915685,22.22706304459252,34.94990022303087,41.99866840465799,56.7169369224399,63.65012825790355
48,Senegal,Value of mobile money transactions (during the reference year),571147.0,1261602.0,2718914.0,4658124.0,9179978.0,17395223.0,26802459.0,38967232.0
49,Zimbabwe,Value of mobile money transactions (during the reference year),5816.0,18021.0,44142.0,114865.0,345441.0,649515.07,1756810.89,1866524.0
50,"Fiji, Republic of",Value of mobile money transactions (during the reference year),0.375703276833629,0.644919224047939,2.52348480273336,0.802187963448263,1.98075871224233,,16.1733472207831,
51,Kenya,Value of mobile money transactions (during the reference year),44.18684119596569,42.88935704522104,42.65780557320011,42.44849855194517,48.65622449624034,57.10810629696777,59.16089806213786,52.46860336278257
52,Philippines,Value of mobile money transactions (during the reference year),6.31826757702342,5.814819301438256,6.046238787830315,9.90848155091452,25.28056600134213,58.92976955532865,86.49603526407509,89.90778398295254
53,Qatar,Value of mobile money transactions (during the reference year),0.4485944112394304,0.0931103769704256,0.1730753932616201,0.2052986956580708,,0.5021212023832892,,
54,Liberia,Value of mobile money transactions (during the reference year),,0.6029897218376576,1.236818541602805,2.470179734193599,15.58502235147233,11.98389028117087,13.72140842134571,13.48107109879963
55,Philippines,Value of mobile money transactions (during the reference year),956104.35205051,962739.34284607,1104357.0180502,1933923.87153036,4538259.40464334,11438630.3859909,19053585.6691249,21864324.6043565
56,"Congo, Democratic Republic of the",Value of mobile money transactions (during the reference year),,,12.9206444301828,14.1453257640485,22.2207882272866,,,
57,Mali,Value of mobile money transactions (during the reference year),2192900.0,2712549.0,3233764.0,3778484.0,3778484.0,6904193.0,12043715.0,15807901.0
58,Jordan,Value of mobile money transactions (during the reference year),0.0006990609313264678,0.021867386419591,0.2464912712813141,0.5095420451308669,3.489252938511642,6.425273203375866,3.001977098643326,8.615807438922904
59,Samoa,Value of mobile money transactions (during the reference year),1.003500396163913,1.003423710403529,0.9375821443408976,0.9713028235603632,0.978571798797038,1.135539486582196,2.053390266583619,1.480459715675673
60,Morocco,Value of mobile money transactions (during the reference year),,,,,0.0386394960654312,0.0875939318535655,0.1307683234177895,0.1482272983685428
61,Rwanda,Value of mobile money transactions (during the reference year),15.19946486426,17.99640528727798,21.79676700283343,25.24577637658837,74.77767209012224,95.392312918001,106.4370701771483,127.038142862375
62,Côte d'Ivoire,Value of mobile money transactions (during the reference year),4923380.0,6533677.0,9703362.0,10775014.0,13936869.0,21502942.0,32248058.0,
63,Bangladesh,Value of mobile money transactions (during the reference year),11.28902680424922,13.53771291101172,14.35922762095795,14.71553182995173,17.70702715216378,25.07205446701575,27.09142138114695,30.1259139656891
64,Guinea,Value of mobile money transactions (during the reference year),6414621.0,18470658.0,45781799.0,48085650.0,107172789.0,156850197.0,182040566.0,211204627.0
65,Guinea-Bissau,Value of mobile money transactions (during the reference year),592.0,3130.0,14918.0,52190.0,146456.0,283877.0,221544.0,559367.0
66,Qatar,Value of mobile money transactions (during the reference year),2477.61,546.0,1155.0,1318.0,,3285.0,,
67,"Comoros, Union of the",Value of mobile money transactions (during the reference year),,,,,,,,
68,"Armenia, Republic of",Value of mobile money transactions (during the reference year),,,,,,,,
69,Guinea,Value of mobile money transactions (during the reference year),8.321177188355373,19.68442232680504,42.84868179307747,38.9491300671403,79.02889021792403,99.8380302839723,99.71033399264267,100.6151633802424
