,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,Andaman & Nicobar Islands,1901,49.2,87.1,29.2,2.3,528.8,517.5,365.1,481.1,332.6,388.5,558.2,33.6,3373.2,136.3,560.3,1696.3,980.3
1,Andaman & Nicobar Islands,1902,0.0,159.8,12.2,0.0,446.1,537.1,228.9,753.7,666.2,197.2,359.0,160.5,3520.7,159.8,458.3,2185.9,716.7
2,Andaman & Nicobar Islands,1903,12.7,144.0,0.0,1.0,235.1,479.9,728.4,326.7,339.0,181.2,284.4,225.0,2957.4,156.7,236.1,1874.0,690.6
3,Andaman & Nicobar Islands,1904,9.4,14.7,0.0,202.4,304.5,495.1,502.0,160.1,820.4,222.2,308.7,40.1,3079.6,24.1,506.9,1977.6,571.0
4,Andaman & Nicobar Islands,1905,1.3,0.0,3.3,26.9,279.5,628.7,368.7,330.5,297.0,260.7,25.4,344.7,2566.7,1.3,309.7,1624.9,630.8
5,Andaman & Nicobar Islands,1906,36.6,0.0,0.0,0.0,556.1,733.3,247.7,320.5,164.3,267.8,128.9,79.2,2534.4,36.6,556.1,1465.8,475.9
6,Andaman & Nicobar Islands,1907,110.7,0.0,113.3,21.6,616.3,305.2,443.9,377.6,200.4,264.4,648.9,245.6,3347.9,110.7,751.2,1327.1,1158.9
7,Andaman & Nicobar Islands,1908,20.9,85.1,0.0,29.0,562.0,693.6,481.4,699.9,428.8,170.7,208.1,196.9,3576.4,106.0,591.0,2303.7,575.7
8,Andaman & Nicobar Islands,1910,26.6,22.7,206.3,89.3,224.5,472.7,264.3,337.4,626.6,208.2,267.3,153.5,2899.4,49.3,520.1,1701.0,629.0
9,Andaman & Nicobar Islands,1911,0.0,8.4,0.0,122.5,327.3,649.0,253.0,187.1,464.5,333.8,94.5,247.1,2687.2,8.4,449.8,1553.6,675.4
10,Andaman & Nicobar Islands,1912,583.7,0.8,0.0,21.9,140.7,549.8,468.9,370.3,386.2,318.7,117.2,2.3,2960.5,584.5,162.6,1775.2,438.2
11,Andaman & Nicobar Islands,1913,84.8,0.5,1.3,2.5,190.7,530.0,280.8,205.8,580.1,288.8,133.0,67.5,2365.8,85.3,194.5,1596.7,489.3
12,Andaman & Nicobar Islands,1914,0.0,0.0,0.0,37.7,298.8,383.3,792.8,520.5,310.8,139.8,184.4,289.7,2957.8,0.0,336.5,2007.4,613.9
13,Andaman & Nicobar Islands,1915,45.0,56.7,33.3,40.9,170.2,334.7,269.0,317.2,429.8,468.1,258.4,318.0,2741.3,101.7,244.4,1350.7,1044.5
14,Andaman & Nicobar Islands,1916,0.0,0.0,0.0,0.5,487.4,450.1,317.3,425.0,561.2,369.7,192.6,133.7,2937.5,0.0,487.9,1753.6,696.0
15,Andaman & Nicobar Islands,1917,8.0,3.6,112.0,4.5,295.9,301.1,394.8,437.4,471.8,238.1,108.3,236.9,2612.4,11.6,412.4,1605.1,583.3
16,Andaman & Nicobar Islands,1918,77.4,6.9,11.4,10.7,729.3,710.8,200.9,455.4,303.3,227.0,366.9,175.0,3275.0,84.3,751.4,1670.4,768.9
17,Andaman & Nicobar Islands,1919,10.2,18.0,0.0,35.5,283.9,542.5,246.5,259.8,170.7,186.2,340.4,258.4,2352.1,28.2,319.4,1219.5,785.0
18,Andaman & Nicobar Islands,1920,122.3,7.4,3.1,13.0,237.4,546.9,294.4,467.4,505.4,397.5,262.9,85.5,2943.2,129.7,253.5,1814.1,745.9
19,Andaman & Nicobar Islands,1921,13.2,3.1,0.0,37.5,351.2,282.7,487.1,330.0,581.2,360.7,118.2,41.5,2606.4,16.3,388.7,1681.0,520.4
20,Andaman & Nicobar Islands,1922,245.3,34.3,15.6,323.1,289.7,506.1,425.8,307.4,511.7,162.0,541.0,192.2,3554.2,279.6,628.4,1751.0,895.2
21,Andaman & Nicobar Islands,1923,79.5,0.0,,91.3,293.5,808.4,636.9,182.2,560.5,131.9,197.4,70.6,,79.5,,2188.0,399.9
22,Andaman & Nicobar Islands,1924,28.7,0.0,14.8,89.7,191.2,261.2,493.3,290.9,251.2,331.1,378.6,,,28.7,295.7,1296.6,
23,Andaman & Nicobar Islands,1925,36.6,0.0,8.6,50.4,282.2,663.8,241.8,278.2,201.9,249.5,271.5,196.0,2480.5,36.6,341.2,1385.7,717.0
24,Andaman & Nicobar Islands,1926,122.1,0.0,0.0,0.5,198.4,370.0,195.3,523.7,719.3,443.8,148.4,560.7,3282.2,122.1,198.9,1808.3,1152.9
25,Andaman & Nicobar Islands,1927,3.0,17.5,17.8,108.6,504.1,433.3,195.2,370.1,126.2,327.5,274.1,65.5,2442.9,20.5,630.5,1124.8,667.1
26,Andaman & Nicobar Islands,1928,50.9,67.6,80.7,129.3,499.5,410.2,406.3,391.5,404.8,444.5,99.5,13.5,2998.3,118.5,709.5,1612.8,557.5
27,Andaman & Nicobar Islands,1929,74.2,118.4,129.2,69.8,316.6,588.8,134.0,644.7,172.9,413.0,251.5,13.5,2926.6,192.6,515.6,1540.4,678.0
28,Andaman & Nicobar Islands,1930,87.4,105.4,131.2,10.9,231.5,533.6,317.9,446.7,677.2,82.3,249.4,201.6,3075.1,192.8,373.6,1975.4,533.3
29,Andaman & Nicobar Islands,1931,25.3,0.0,2.5,2.5,205.4,393.5,289.3,571.0,294.4,368.3,22.8,182.7,2357.7,25.3,210.4,1548.2,573.8
30,Andaman & Nicobar Islands,1932,2.8,2.5,10.1,58.2,479.7,,,,,,,,,5.3,548.0,,
31,Andaman & Nicobar Islands,1933,4.5,11.7,8.1,58.4,365.4,544.2,376.6,294.1,759.0,239.8,268.8,56.9,2987.5,16.2,431.9,1973.9,565.5
32,Andaman & Nicobar Islands,1934,7.3,172.9,6.9,131.4,62.0,708.4,323.5,924.9,761.1,338.1,240.2,46.1,3722.8,180.2,200.3,2717.9,624.4
33,Andaman & Nicobar Islands,1935,6.6,0.0,0.5,133.6,726.8,374.1,368.7,411.6,578.9,182.4,275.4,95.4,3154.0,6.6,860.9,1733.3,553.2
34,Andaman & Nicobar Islands,1936,16.5,15.3,116.5,,194.3,498.3,664.8,562.9,383.8,174.9,199.2,212.2,,31.8,,2109.8,586.3
